NEW_ID,LOCATION,WEP,CCI,MAIN_ROCK,DRYVER_GROUP`,SUB_ROCK,ROCK_GROUP,MAINXSUB,0P_AV_Sq,0P_AV_Sz,0P_AV_Ssk,20P_AV_Sq,20P_AV_Sz,20P_AV_Ssk,0P_AV_TIME,1P_AV_TIME,20P_AV_TIME,0P_1P_AV_TIME,0P_20P_AV_TIME,0_1_RATIO,0_20_RATIO,1P_AV_D,20P_AV_D,1P_20P_DEL
WVLV302A,Wright,1,0.106463012,till,Younger Glacial,silt sand,conglomerate,sandy silt congolmerate,NA,NA,NA,NA,NA,NA,55,54,47,-1,-8,0.98,0.85,13.33,16.67,3.33
WVLV302B,Wright,0.800851184,0.56076482,till,Older Glacial,silt sand,conglomerate,sandy silt congolmerate,NA,NA,NA,NA,NA,NA,73,130,43,57,-30,1.78,0.59,11.67,18.33,6.67
WVLV303A,Wright,0.971866159,-0.15079329,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,5.71118473,45.33297878,0.517431441,5.242987408,62.90308983,1.488181476,82,105,66,23,-16,1.28,0.8,18.33,18.33,0
WVLV303B,Wright,0.853990426,-0.671346777,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,213,278,245,65,32,1.31,1.15,5,15,10
WVLV305A,Wright,0.895593154,0.696303826,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,77,120,100,43,23,1.56,1.3,13.33,16.67,3.33
WVLV305B,Wright,0.975998426,0.810164901,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,198,367,483,169,285,1.85,2.44,10,13.33,3.33
WVLV306A,Wright,0.405704298,0.243681502,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,5.474963285,39.65773558,0.558103509,2.448093228,22.94971294,0.52898194,NA,NA,NA,NA,NA,NA,NA,35,26.67,-8.33
WVLV306B,Wright,0.670601667,0.642564682,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,4.720381118,40.05269703,0.441575029,5.072265075,43.10694017,0.864749347,NA,NA,NA,NA,NA,NA,NA,20,15,-5
WVLV307A,Wright,0.572757555,0.51266861,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,584,197,113,-387,-471,0.34,0.19,40,25,-15
WVLV307B,Wright,0.369464225,0.671945436,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,190,202,358,12,168,1.06,1.88,51.67,46.67,-5
WVLV308A,Wright,0.115287559,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,4.480796789,49.35358662,0.584980385,2.401266925,20.91874302,0.597469155,441,209,269,-232,-172,0.47,0.61,8.33,8.33,0
WVLV308B,Wright,0.857733937,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,6.745257083,48.58669973,-0.432949432,4.839672359,48.18969646,0.488814447,144,248,295,104,151,1.72,2.05,6.67,13.33,6.67
WVLV309A,Wright,1,0.479028075,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,4.918255456,49.41607843,0.754561617,6.199529776,57.0157894,0.576495498,384,343,404,-41,20,0.89,1.05,1.67,10,8.33
WVLV309B,Wright,1,2.093573167,gravel,Colluvium,breccia gravel tillite,breccia,Colluvium,NA,NA,NA,NA,NA,NA,37,71,44,34,7,1.92,1.19,3.33,8.33,5
