NEW_ID,LOCATION,WEP,CCI,MAIN_ROCK,DRYVER_GROUP`,SUB_ROCK,ROCK_GROUP,MAINXSUB,0P_AV_Sq,0P_AV_Sz,0P_AV_Ssk,20P_AV_Sq,20P_AV_Sz,20P_AV_Ssk,0P_AV_TIME,1P_AV_TIME,20P_AV_TIME,0P_1P_AV_TIME,0P_20P_AV_TIME,0_1_RATIO,0_20_RATIO,1P_AV_D,20P_AV_D,1P_20P_DEL
MVMG202A,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,2.514791116,20.69765433,0.607751769,3.770976726,33.54277707,0.109773752,250,195,300,-55,50,0.78,1.2,2.67,3,0.33
MVMG202B,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,2.350093744,21.41657012,1.097772367,5.996947929,42.58391965,-0.07113244,279,189,300,-90,21,0.68,1.08,20.67,28,7.33
MVMG203A,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,NA,NA,NA,NA,NA,NA,300,82,300,-218,0,0.27,1,23.33,43.33,20
MVMG203B,Miers,NA,NA,gravel,Colluvium,sand fanglomerate,conglomerate,sandy conglomerate,NA,NA,NA,NA,NA,NA,300,300,300,0,0,1,1,40,43.33,3.33
MVMV300A,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,3.054533243,26.32831249,0.570512018,6.797729837,46.96445107,-0.179998351,270,300,300,30,30,1.11,1.11,20.67,34.67,14
MVMV300B,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,2.874894142,22.27656726,0.826751688,4.893497128,35.43466859,-0.244362844,261,300,300,39,39,1.15,1.15,15,25,10
MVMV301A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,2.277802509,22.05800336,0.972827259,7.539742927,53.89464584,-0.307371538,120,90,128,-30,8,0.75,1.07,35,30,-5
MVMV301B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,2.99687165,25.06076148,0.978561204,6.038139703,44.22977355,-0.245349904,130,159,104,29,-26,1.22,0.8,21.67,30,8.33
MVMV302A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,3.007019007,41.70488658,0.328860053,8.103670293,61.88257874,-0.141828909,120,145,103,25,-17,1.21,0.86,43.33,43.33,0
MVMV302B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,2.756072063,21.87384772,0.609104727,7.252961128,50.06061407,-0.308233077,90,104,183,14,93,1.16,2.03,31.67,35,3.33
MVMV303A,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,NA,NA,NA,NA,NA,NA,111,48,135,-63,24,0.43,1.22,45,51.67,6.67
MVMV303B,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,2.632716514,26.95355567,1.4085006,8.392816534,63.10406375,-0.524503325,123,54,103,-69,-20,0.44,0.84,48.33,43.33,-5
MVMV303C,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,2.100250624,19.09191442,0.890587309,2.804604938,22.56524586,0.129118769,221,259,232,38,11,1.17,1.05,5,6.67,1.67
MVMV303D,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,2.07862845,18.46974193,0.902914575,3.175669145,25.81477718,-0.257719905,276,218,288,-58,12,0.79,1.04,3.33,15.33,12
MVMV304A,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,2.594584771,20.87207649,0.680074234,4.953061769,36.09299213,-0.230524021,136,300,300,164,164,2.21,2.21,18.33,36.67,18.33
MVMV304B,Miers,NA,NA,gravel,Alluvial,sand conglomerate,conglomerate,sandy conglomerate,2.969360844,27.35541919,1.052068382,5.234038797,38.76470424,-0.191333403,168,300,241,132,73,1.79,1.43,24.33,40,15.67
MVMV305A,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,3.025433245,34.36693905,1.454718229,6.070474486,42.12801278,-0.489292953,103,78,74,-25,-29,0.76,0.72,21.67,33.33,11.67
MVMV305B,Miers,NA,NA,silt,Lacustrine,sand mud gravel,conglomerate,sandy silts,2.565224388,21.80156567,1.063709504,6.287279674,41.69290807,-0.382851556,153,144,204,-9,51,0.94,1.33,25.67,41.67,16
MVMV306A,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,2.309019907,17.31899275,0.658453948,4.522468905,31.68983758,-0.239122922,287,218,0,-69,-287,0.76,0,24.67,26.33,1.67
MVMV306B,Miers,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,1.740412632,15.5057848,0.463796119,3.82346846,29.68724206,-0.384308442,285,300,300,15,15,1.05,1.05,20.67,8.67,-12
TVFH600A,Taylor,NA,NA,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.33,25,-19.33
TVFH600B,Taylor,NA,NA,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,38.33,8.33
TVFH601A,Taylor,NA,NA,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,586,381,329,-205,-257,0.65,0.56,26.67,21.67,-5
TVFH601B,Taylor,NA,NA,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,162,420,296,258,134,2.59,1.83,23.33,11.67,-11.67
TVFH602A,Taylor,NA,NA,till,Older Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,450,710,601,260,151,1.58,1.34,11.67,21.67,10
TVFH602B,Taylor,NA,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,670,523,530,-147,-140,0.78,0.79,6.67,8.33,1.67
TVFH603A,Taylor,NA,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,859,588,516,-271,-343,0.68,0.6,8.33,16.67,8.33
TVFH603B,Taylor,NA,NA,till,Local Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,1
TVNH202A,Taylor,NA,NA,till,Local Glacial,sand silt,conglomerate,sandy silts,NA,NA,NA,NA,NA,NA,39,55,64,16,25,1.41,1.64,0,25,25
TVNH202B,Taylor,NA,NA,till,Local Glacial,sand silt,conglomerate,sandy silts,NA,NA,NA,NA,NA,NA,50,900,340,850,290,18,6.8,0,0,0
TVNH203A,Taylor,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,87,82,104,-5,17,0.94,1.2,35,30,-5
TVNH203B,Taylor,NA,NA,till,Younger Glacial,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,61,90,151,29,90,1.48,2.48,33.33,15,-18.33
TVNH204A,Taylor,NA,NA,till,Older Glacial,sand conglomerate,conglomerate,sandy conglomerate,NA,NA,NA,NA,NA,NA,326,277,393,-49,67,0.85,1.21,6.67,10,3.33
TVNH204B,Taylor,NA,NA,till,Older Glacial,sand conglomerate,conglomerate,sandy conglomerate,NA,NA,NA,NA,NA,NA,422,655,268,233,-154,1.55,0.64,5,7,2
TVNH205A,Taylor,NA,NA,till,Local Glacial,sand silt,conglomerate,sandy silts,NA,NA,NA,NA,NA,NA,50,70,73,20,23,1.4,1.46,36.67,20,-16.67
TVNH205B,Taylor,NA,NA,till,Local Glacial,sand silt,conglomerate,sandy silts,NA,NA,NA,NA,NA,NA,72,64,40,-8,-32,0.89,0.56,40,26.67,-13.33
TVNH208A,Taylor,NA,NA,gravel,Colluvium,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,361,520,617,159,256,1.44,1.71,10,20,10
TVNH208B,Taylor,NA,NA,gravel,Colluvium,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,683,638,702,-45,19,0.93,1.03,10,15,5
TVNH209A,Taylor,NA,NA,gravel,Colluvium,breccia gravel tillite,breccia,gravel breccia,NA,NA,NA,NA,NA,NA,618,252,383,-366,-235,0.41,0.62,11.67,23.33,11.67
